fr_adroit_class	L'Intrépide	torpedoes	France	3	typeTorpedoBoat
fr_arras_class_amiens	Amiens	arras_class_amiens_default	France	3	typeGunBoat
fr_arras_class_arras	Arras	arras_class_arras_default	France	3	typeGunBoat
fr_battleship_bretagne_class_bretagne	Bretagne	fr_battleship_bretagne_class_bretagne_torpedoes	France	5	typeDestroyer
fr_battleship_bretagne_class_lorraine	Lorraine	fr_battleship_bretagne_class_lorraine_default	France	5	typeDestroyer
fr_battleship_courbet_class_courbet	Courbet	fr_battleship_courbet_class_courbet_torpedoes	France	5	typeDestroyer
fr_battleship_courbet_class_paris	Paris	fr_battleship_courbet_class_paris_default	France	5	typeDestroyer
fr_battleship_dunkerque	Dunkerque	fr_battleship_dunkerque_default	France	6	typeDestroyer
fr_battleship_richelieu_class_clemenceau	Clemenceau	fr_battleship_richelieu_class_jean_bart_default	France	7	typeDestroyer
fr_battleship_richelieu_class_jean_bart	Jean Bart	fr_battleship_richelieu_class_jean_bart_default	France	7	typeDestroyer
fr_battleship_richelieu_class_richelieu	Richelieu	fr_battleship_richelieu_class_richelieu_default	France	7	typeDestroyer
fr_battleship_strasbourg	Strasbourg	fr_battleship_strasbourg_default	France	6	typeDestroyer
fr_cruiser_chateaurenault_class_guichen	Guichen	torpedoes	France	2	typeDestroyer
fr_cruiser_dugauy_class_dugauy_trouin	Duguay-Trouin	it_cruiser_zara_class_default	France	3	typeDestroyer
fr_cruiser_dugauy_class_primaguet	Primauguet	torpedoes	France	3	typeDestroyer
fr_cruiser_emile_bertin	Emile Bertin	fr_cruiser_emile_bertin_torpedoes	France	4	typeDestroyer
fr_cruiser_jeanne_darc	Jeanne d'Arc	fr_cruiser_jeanne_darc_default	France	3	typeDestroyer
fr_cruiser_la_galissoniere_class_gloire	Gloire	torpedoes	France	4	typeDestroyer
fr_cruiser_la_galissoniere_class_la_galissoniere	La Galissonnière	torpedoes	France	4	typeDestroyer
fr_cruiser_suffren_class_colbert	Colbert	fr_cruiser_suffren_class_colbert_torpedoes	France	4	typeDestroyer
