a_109_eoa2	A.109EOA-2	1	ffar_extra	rockets	gameData/Weapons/containers/aero_6a_2_75_in_ffar_mighty_mouse.blk	aero_6_b001	1	nar_ap_small	FFAR Mighty Mouse rockets x7	Rockets	93.268	93.268
a_109_eoa2	A.109EOA-2	1	bgm71_default	atgm	gameData/Weapons/containers/bgm_71_tow_x2_left_wing_default.blk	tow_tube_001	1	atgm_type2_x2	BGM-71С Improved TOW missiles x2	Air-to-Ground Missiles	38.1	38.1
a_109_eoa2	A.109EOA-2	2	ffar_extra	rockets	gameData/Weapons/containers/aero_6a_2_75_in_ffar_mighty_mouse.blk	aero_6_b002	1	nar_ap_small	FFAR Mighty Mouse rockets x7	Rockets	93.268	93.268
a_109_eoa2	A.109EOA-2	2	fn_m3p	machine gun	gameData/Weapons/gunFN_M3P.blk	flare1	400	machine_gun	12.7 mm FN M3P machine gun	Other Weapons	89	89
a_109_eoa2	A.109EOA-2	2	fn_m3p_hvar_slot2	machine gun	gameData/Weapons/gunFN_M3P_cwp.blk	flare3	250	machine_gun_rockets	12.7 mm FN M3P machine gun	Other Weapons	89	89
a_109_eoa2	A.109EOA-2	3	ffar_extra	rockets	gameData/Weapons/containers/aero_6a_2_75_in_ffar_mighty_mouse.blk	aero_6_b003	1	nar_ap_small	FFAR Mighty Mouse rockets x7	Rockets	93.268	93.268
a_109_eoa2	A.109EOA-2	3	fn_m3p	machine gun	gameData/Weapons/gunFN_M3P.blk	flare2	400	machine_gun	12.7 mm FN M3P machine gun	Other Weapons	89	89
a_109_eoa2	A.109EOA-2	3	fn_m3p_hvar_slot3	machine gun	gameData/Weapons/gunFN_M3P_cwp.blk	flare4	250	machine_gun_rockets	12.7 mm FN M3P machine gun	Other Weapons	89	89
a_109_eoa2	A.109EOA-2	4	ffar_extra	rockets	gameData/Weapons/containers/aero_6a_2_75_in_ffar_mighty_mouse.blk	aero_6_b004	1	nar_ap_small	FFAR Mighty Mouse rockets x7	Rockets	93.268	93.268
a_109_eoa2	A.109EOA-2	4	bgm71	atgm	gameData/Weapons/containers/bgm_71_tow_x2_left_wing.blk	tow_tube_002	1	atgm_type2_x2	BGM-71С Improved TOW missiles x2	Air-to-Ground Missiles	38.1	38.1
a_10a_early	A-10A Thunderbolt II (Early)	1	us_aim9l_sidewinder_lm_default	aam	gameData/Weapons/containers/dra_lau_105a_aim_9l_lm.blk	dra_lau105a_1	1	missile_type_b_air_to_air	AIM-9L Sidewinder air-to-air missiles	Air-to-Air Missiles	84.46	84.46
a_10a_early	A-10A Thunderbolt II (Early)	1	us_500lb_mk_82_ldgp	bombs	gameData/Weapons/BombGuns/us_500lb_mk_82_ldgp.blk	bomb_1	1	bombs_middle	500 lb LDGP Mk 82 bomb	Bombs	240.9	240.9
a_10a_early	A-10A Thunderbolt II (Early)	1	us_500lb_mk_82_ldgp_snakeye	bombs	gameData/Weapons/BombGuns/us_500lb_mk_82_ldgp_snakeye.blk	bomb_1	1	bombs_middle_high_drag	500 lb Mk 82 Snakeye high-drag tail fin retarded bomb	Bombs	254	254
a_10a_early	A-10A Thunderbolt II (Early)	2	us_hydra_70_m247	rockets	gameData/Weapons/containers/lau_131a_hydra_70_m247.blk	aero_7_2	1	nar_ap_small	70 mm Hydra-70 M247 rocket x7	Rockets	101.12	101.12
a_10a_early	A-10A Thunderbolt II (Early)	2	us_500lb_mk_82_ldgp	bombs	gameData/Weapons/BombGuns/us_500lb_mk_82_ldgp.blk	bomb_2	1	bombs_middle	500 lb LDGP Mk 82 bomb	Bombs	240.9	240.9
a_10a_early	A-10A Thunderbolt II (Early)	2	us_500lb_mk_82_ldgp_snakeye	bombs	gameData/Weapons/BombGuns/us_500lb_mk_82_ldgp_snakeye.blk	bomb_2	1	bombs_middle_high_drag	500 lb Mk 82 Snakeye high-drag tail fin retarded bomb	Bombs	254	254
