an_aps_54a	SPO-2				rwr			
bl_carapace	CARAPACE				rwr			
cn_antelope_ads_track	Antelope	9	track	16000	radar	lock,track		1
cn_clc_1_search	CLC-1	4	search	10000	radar	search		
cn_helicopter_z_late_rwr	YH-96ME				rwr			
cn_helicopter_z_lws	CN-LWS				lws			
cn_helicopter_z_mlws	CN-MLWS				mlws			
cn_helicopter_z_rwr	YH-96				rwr			
cn_hq_11_search	HQ-11 TA	5	search	70000	radar	tws	4	
cn_hq_11_search_ai	HQ-11 TA	5	search	45000	radar	tws	4	
cn_hq_17_search	HQ-17 TA	5	search	45000	radar	search		
cn_hq_17_track	HQ-17 TT	9	track	30000	radar	lock,radarTrack,track	2	1
cn_jl_10a	JL-10A	8	search	150000	radar	acmLock,bvrLock,gtmTrack,illumination,main,search,searchModes,track,tws,velocityLock	4	
cn_jl_10ag	JL-10A	8	search	150000	radar	acmLock,bvrLock,gtmTrack,helmetDesignation,illumination,main,search,searchModes,track,tws,velocityLock	4	
cn_jl_7a	JL-7A	8	search	30000	radar	lock,search,track		
cn_kj_8602	KJ8602				rwr			
cn_kj8602a	KJ8602A				rwr			
cn_klj_10a	KLJ-10A	8	search	200000	radar	gtmTrack,helmetDesignation,illumination,irstSearchModes,irstTrack,lock,main,radarAcmHmdTrack,radarBvrLock,radarBvrTrack,radarSearchModes,search,sensorTypes,track,tws,velocityLock	8	1
cn_klj_7	KLJ-7	8	search	100000	radar	acmLock,bvrLock,illumination,main,search,searchModes,track,tws,velocityLock	2	
cn_krkz2200	K/RKZ				rwr			
cn_pgz_09_search	PGZ-09 TA	8	search	20000	radar	search		
cn_pgz_09_track	PGZ-09 TT	8	track	20000	radar	lock,track		1
cn_pgz_625_search	PGZ-625 TA	6	search	50000	radar	search		
cn_pgz_625_track	PGZ-625 TT	9	track	25000	radar	lock,radarTrack,track	8	1
cn_rn_01_ii	RN-01-II	10	search	8000	radar	mode,search		
cn_rw_30	RW-30				rwr			
cn_rwr_esm	ESM	2	search	250000	radar	lock,track,tws		
cn_s740	S740				mlws			
cn_se_2_mlws	SE-2				mlws			
cn_type_1473	Type 1473	8	search	60000	radar	acmLock,bvrLock,helmetDesignation,illumination,main,search,searchModes,track,tws	4	
cn_type_1492	Type 1492	8	search	150000	radar	acmLock,bvrLock,gtmTrack,helmetDesignation,illumination,main,search,searchModes,track,tws,velocityLock	6	
cn_type_1493_pd	Type 1493	8	search	120000	radar	gtmTrack,helmetDesignation,illumination,irstSearchModes,irstTrack,lock,main,radarAcmHmdTrack,radarBvrLock,radarBvrTrack,radarSearchModes,search,sensorTypes,tws	6	1
cn_type_208a	Type 208A	8	search	60000	radar	lock,search,track		
cn_type_280	Type 208	8	search	60000	radar	lock,search,track		
cn_type_930	Type 930				rwr			
cn_type_930_4	SPO-10				rwr			
cn_z10_fcr	Z-10 FCR	10	search	8000	radar	mode,search		
de_flarakrad_fr	Roland TT	9	track	20000	radar	lock,track		1
de_fug_200	FuG-200	2	search	20000	radar	search		
de_fug_202	FuG-202	1	search	8000	radar	search		
de_fug_220	FuG-220	1	search	8000	radar	search		
de_gepard_fr	Gepard TT	9	track	20000	radar	lock,track		
de_gepard_sr	Gepard TA	4	search	20000	radar	search		
de_hensoldt_trml_4b	TRML-4D	6	search	250000	radar	tws	4	
de_roland_fr	Roland TT	9	track	20000	radar	lock,track		1
de_roland_sr	Roland TA	3	search	20000	radar	search		
esm	ESM	2	search	250000	radar	lock,track,tws		
fr_aida_2	AIDA 2	8	track	2750	radar	lock,track		
fr_anemone	Anemone	9	search	150000	radar	lock,search,track		
fr_antares_lws	fr_antares_lws				lws			
fr_antilope_5	ANTILOPE-5	9	search	29632	radar	lock,search,track		
fr_antilope_5_hmd	ANTILOPE-5	9	search	29632	radar	helmetDesignation,lock,search,track		
fr_arabel	Arabel	8	search	160000	radar	tws	16	
fr_arabel_ai	Arabel	8	search	60000	radar	tws	16	
fr_as37_armat_esm	AS-37 ARMAT ESM	2	search	250000	radar	lock,track,tws		
fr_as37_c_esm	AS-37 Martel C ESM	2	search	250000	radar	lock,track,tws		
fr_as37_l_esm	AS-37 Martel L ESM	5	search	250000	radar	lock,track,tws		
fr_as37_s_esm	AS-37 Martel S ESM	8	search	250000	radar	lock,track,tws		
fr_crotale_search	Crotale TA	4	search	20000	radar	search		
fr_crotale_track	Crotale TT	9	track	20000	radar	lock,track		1
fr_crotale_track_ai	Crotale TT	9	track	20000	radar	lock,track		1
fr_cyrano	Cyrano Ibis	8	search	90000	radar	lock,search,track		
fr_cyrano_ii	Cyrano Ibis	8	search	90000	radar	lock,search,track		
fr_cyrano_iv	Cyrano-IV	8	search	100000	radar	acmLock,acmLockModes,acmLockModesLocker,bvrLock,main,pulseTrack,search,searchModes,track,trackModes		
fr_cyrano_ivmr	Cyrano-IV	8	search	100000	radar	acmLock,acmLockModes,acmLockModesLocker,bvrLock,main,pulseTrack,search,searchModes,track,trackModes		
fr_ddm2000	DDM 2000				mlws			
fr_dr_vc_1a	DR-VC-1A	4	search	15000	radar	lock,search,standbyOrSearch,track		
fr_draa_3d	DRAA 3D AIDA	8	search	15000	radar	lock,search,track		
fr_drac_25	DRAC-25A	8	search	80000	radar	lock,search,track		
fr_drac_32a	DRAC-32A	8	search	80000	radar	lock,search,track		
fr_leclerc_auto_target_tracker	Auto tracker	-1	track	12000	radar	lock,track		
fr_mirage_3e_detecteur	Mirage Detecteur				rwr			
fr_ralm01	RALM01				lws			
fr_rodeo_2	DR-VC-1A	4	search	15000	radar	lock,search,standbyOrSearch,track		
fr_serval_rwr	SERVAL RWR				rwr			
fr_sherloc	Sherloc				rwr			
fr_spectra_lws	Thales SPECTRA DAL				lws			
fr_spectra_mlws	Thales SPECTRA DDM-NG				mlws			
fr_spectra_rwr	Thales SPECTRA DAR				rwr			
fr_taran_18	TARAN 18	8	search	100000	radar	lock,search,track		
fr_thales_rbe2	Thales RBE2 AESA	8	search	300000	radar	helmetDesignation,illumination,irstSearchModes,irstTrack,lock,main,radarAcmHmdTrack,radarBvrLock,radarBvrTrack,radarSearchModes,search,sensorTypes,tws	8	1
fr_thales_rdy	Thales RDY	8	search	100000	radar	acmLock,acmLockModes,bvrLock,helmetDesignation,illumination,main,search,searchModes,track,tws,velocityLock	4	
fr_thomson-csf_rdi	Thomson-CSF RDI	8	search	100000	radar	acmLock,acmLockModes,bvrLock,illumination,main,search,searchModes,track,tws,velocityLock		
fr_thomson-csf_rdm	Thomson-CSF RDI	8	search	100000	radar	acmLock,acmLockModes,bvrLock,illumination,main,search,searchModes,track,tws,velocityLock		
il_el_m_2001b	ELTA EL/M-2001B	8	track	10000	radar	lock,track		
il_el_m_2032	ELTA EL/M-2032	8	search	130000	radar	acmLock,bvrLock,gtmTrack,helmetDesignation,illumination,main,search,searchModes,track,tws,velocityLock	4	
il_el_m_2052	ELTA EL/M-2052	8	search	150000	radar	acmLock,bvrLock,gtmTrack,helmetDesignation,illumination,main,search,searchModes,track,tws	4	
il_elisra_sps_200	ELISRA SPS-200				rwr			
il_elisra_sps_3000	ELISRA SPS-3000				rwr			
il_machbet_optics	Machbet TV/FLIR	-1	track	10000	radar	lock,track		
il_paws_2	PAWS-2				mlws			
il_sps_20v	SPS-20(V)				rwr			
