abandoned_factory	Abandoned Factory	levels/avg_abandoned_factory.bin	ground	1	ground_1	Ground spawn 1	[[-30.3619, 0.0, -95.2793] [0.0, 97.6116, 0.0] [95.2793, 0.0, -30.3619] [1880.75, 8.05554, 1446.41]]	
abandoned_factory	Abandoned Factory	levels/avg_abandoned_factory.bin	ground	1	ground_2	Ground spawn 2	[[56.5429, 0.0, -82.4797] [0.0, 97.6116, 0.0] [82.4797, 0.0, 56.5429] [2255.8, 8.06313, 1455.14]]	
abandoned_factory	Abandoned Factory	levels/avg_abandoned_factory.bin	aircraft	1	airfield	Airfield	[[0.594822, 0.0, -0.803856] [0.0, 1.0, 0.0] [0.803856, 0.0, 0.594822] [8171.8, 49.45, -11873.2]]	dynaf_pg_1line_3000_universal
abandoned_factory	Abandoned Factory	levels/avg_abandoned_factory.bin	aircraft	1	air	Air spawn	[[-150.001, 0.0, 259.809] [0.0, 300.0, 0.0] [-259.809, 0.0, -150.001] [9596.36, 2000.0, -11067.5]]	
abandoned_factory	Abandoned Factory	levels/avg_abandoned_factory.bin	helicopter	1	heli_near	Helipad вЂ” near	[[0.483282, 0.0, -0.875464] [0.0, 1.0, 0.0] [0.875464, 0.0, 0.483282] [3555.66, 67.3994, -1754.86]]	dynHelipad_beton_a_ussr
abandoned_factory	Abandoned Factory	levels/avg_abandoned_factory.bin	helicopter	1	heli_far	Helipad вЂ” far	[[0.0122172, 0.0, -0.999924] [0.0, 1.0, 0.0] [0.999924, 0.0, 0.0122172] [3769.28, 88.7178, -5284.39]]	dynHelipad_beton_b_ussr
abandoned_factory	Abandoned Factory	levels/avg_abandoned_factory.bin	ground	2	ground_1	Ground spawn 1	[[-4.37114e-6, 0.0, -100.0] [0.0, 97.6116, 0.0] [100.0, 0.0, -4.37114e-6] [1891.35, 8.05539, 2412.56]]	
abandoned_factory	Abandoned Factory	levels/avg_abandoned_factory.bin	ground	2	ground_2	Ground spawn 2	[[-39.4448, 0.0, -91.8918] [0.0, 97.6116, 0.0] [91.8918, 0.0, -39.4448] [2220.8, 8.05554, 2443.45]]	
abandoned_factory	Abandoned Factory	levels/avg_abandoned_factory.bin	aircraft	2	airfield	Airfield	[[0.797532, 0.0, 0.603277] [0.0, 1.0, 0.0] [-0.603277, 0.0, 0.797532] [12366.4, 55.5723, 13990.5]]	dynaf_pg_1line_3000_universal
abandoned_factory	Abandoned Factory	levels/avg_abandoned_factory.bin	aircraft	2	air	Air spawn	[[-87.258, 0.0, -287.031] [0.0, 300.0, 0.0] [287.031, 0.0, -87.258] [9563.6, 2000.0, 14928.6]]	
abandoned_factory	Abandoned Factory	levels/avg_abandoned_factory.bin	helicopter	2	heli_near	Helipad вЂ” near	[[-0.232186, 0.0, 0.97267] [0.0, 1.0, 0.0] [-0.97267, 0.0, -0.232186] [1917.72, 12.9355, 5918.25]]	dynHelipad_beton_a_usa
abandoned_factory	Abandoned Factory	levels/avg_abandoned_factory.bin	helicopter	2	heli_far	Helipad вЂ” far	[[0.25038, 0.0, 0.968148] [0.0, 1.0, 0.0] [-0.968148, 0.0, 0.25038] [2265.13, 22.8704, 9160.9]]	dynHelipad_beton_b_usa
abandoned_factory	Abandoned Factory	levels/avg_abandoned_factory.bin	capture	0	capture_a	A	[[-42.8736, 0.0, 6.16559e-6] [0.0, 35.85, 0.0] [-6.16559e-6, 0.0, -42.8736] [2431.58, 12.8221, 1939.0]]	
abandoned_factory	Abandoned Factory	levels/avg_abandoned_factory.bin	capture	0	capture_b	B	[[-42.8736, 0.0, 6.16559e-6] [0.0, 35.85, 0.0] [-6.16559e-6, 0.0, -42.8736] [2082.78, 8.05005, 1939.0]]	
abandoned_factory	Abandoned Factory	levels/avg_abandoned_factory.bin	capture	0	capture_c	C	[[-42.8736, 0.0, 6.16559e-6] [0.0, 35.85, 0.0] [-6.16559e-6, 0.0, -42.8736] [1686.73, 8.05005, 1939.0]]	
abandoned_town	Abandoned Town	levels/avg_abandoned_town.bin	ground	1	ground_1	Ground spawn 1	[[57.4025, 0.0, 138.582] [0.0, 97.6116, 0.0] [-138.582, 0.0, 57.4025] [-48.4, 140.0, 687.65]]	
abandoned_town	Abandoned Town	levels/avg_abandoned_town.bin	ground	1	ground_2	Ground spawn 2	[[57.4025, 0.0, 138.582] [0.0, 97.6116, 0.0] [-138.582, 0.0, 57.4025] [-19.15, 155.9, 1024.0]]	
abandoned_town	Abandoned Town	levels/avg_abandoned_town.bin	aircraft	1	airfield	Airfield	[[-0.921618, 0.0, 0.388097] [0.0, 1.0, 0.0] [-0.388097, 0.0, -0.921618] [-11461.3, 226.834, 6246.12]]	dynaf_pg_1line_3000_universal
abandoned_town	Abandoned Town	levels/avg_abandoned_town.bin	aircraft	1	air	Air spawn	[[110.389, 0.0, -278.954] [0.0, 300.0, 0.0] [278.954, 0.0, 110.389] [-5303.46, 2000.0, 14346.6]]	
