cn_al_khalid_1	ground	Al-Khalid-I	gameData/Weapons/groundModels_weapons/125mm_ZPT_98_user_cannon.blk	125mm ZPT 98 user cannon	cannon	gunner0
cn_al_khalid_1	ground	Al-Khalid-I	gameData/Weapons/groundModels_weapons/7_62mm_Type86_user_machinegun.blk	7 62mm Type86 user machinegun	cannon	gunner1
cn_al_khalid_1	ground	Al-Khalid-I	gameData/Weapons/groundModels_weapons/12_7mm_QJC_88A_user_machinegun.blk	12 7mm QJC 88A user machinegun	cannon	gunner2
cn_al_khalid_1	ground	Al-Khalid-I	gameData/Weapons/dummy_weapon.blk	(empty slot)	dummy	gunner3
cn_al_khalid_1	ground	Al-Khalid-I	gameData/Weapons/groundModels_weapons/76mm_modern_cn_smoke_grenade_launcher.blk	76mm modern cn smoke grenade launcher	cannon	gunner5
cn_antelope_tc_1l_ads	ground	Antelope	gameData/Weapons/groundModels_weapons/127mm_tc_1l_rocket_launcher_user_cannon.blk	127mm tc 1l rocket launcher user cannon	cannon	gunner0
cn_bt_5	ground	BT-5	gameData/Weapons/groundModels_weapons/45mm_20K_user_cannon.blk	45mm 20K user cannon	cannon	gunner0
cn_bt_5	ground	BT-5	gameData/Weapons/groundModels_weapons/7_62mm_DT_user_machinegun.blk	7 62mm DT user machinegun	cannon	gunner1
cn_cm_25	ground	CM25	gameData/Weapons/groundModels_weapons/127mm_BGM_71_tow_launcher_user_cannon.blk	127mm BGM 71 tow launcher user cannon	cannon	gunner0
cn_cm_25	ground	CM25	gameData/Weapons/groundModels_weapons/12_7mm_M2_HB_user_machinegun.blk	12 7mm M2 HB user machinegun	cannon	gunner2
cn_cm_25	ground	CM25	gameData/Weapons/groundModels_weapons/76mm_modern_smoke_grenade_launcher.blk	76mm modern smoke grenade launcher	cannon	gunner4
cn_cm_34	ground	CM34	gameData/Weapons/groundModels_weapons/30mm_Bushmaster_2_Mk_44_user_cannon.blk	30mm Bushmaster 2 Mk 44 user cannon	cannon	gunner0
cn_cm_34	ground	CM34	gameData/Weapons/groundModels_weapons/7_62mm_T74v_user_machinegun.blk	7 62mm T74v user machinegun	cannon	gunner1
cn_cm_34	ground	CM34	gameData/Weapons/groundModels_weapons/7_62mm_T74_user_machinegun.blk	7 62mm T74 user machinegun	cannon	gunner2
cn_cm_34	ground	CM34	gameData/Weapons/dummy_weapon.blk	(empty slot)	dummy	gunner4
cn_cm_34	ground	CM34	gameData/Weapons/groundModels_weapons/66mm_modern_smoke_grenade_launcher.blk	66mm modern smoke grenade launcher	cannon	gunner3
cn_cm11	ground	CM11	gameData/Weapons/groundModels_weapons/105mm_M68A1_user_cannon.blk	105mm M68A1 user cannon	cannon	gunner0
cn_cm11	ground	CM11	gameData/Weapons/groundModels_weapons/12_7mm_M2_HB_user_machinegun.blk	12 7mm M2 HB user machinegun	cannon	gunner1
cn_cm11	ground	CM11	gameData/Weapons/groundModels_weapons/7_62mm_M240_user_machinegun.blk	7 62mm M240 user machinegun	cannon	gunner2
cn_cm11	ground	CM11	gameData/Weapons/groundModels_weapons/7_62mm_M240_user_machinegun.blk	7 62mm M240 user machinegun	cannon	gunner3
cn_cm11	ground	CM11	gameData/Weapons/groundModels_weapons/66mm_modern_smoke_grenade_launcher.blk	66mm modern smoke grenade launcher	cannon	gunner4
cn_fk_2000	ground	FK-2000	gameData/Weapons/groundModels_weapons/30mm_pgz_625_user_cannon.blk	30mm pgz 625 user cannon	cannon	gunner0
cn_fk_2000	ground	FK-2000	gameData/Weapons/groundModels_weapons/180mm_FK_2000_rocket_launcher.blk	180mm FK 2000 rocket launcher	cannon	gunner1
cn_gmc_cckw_353_m45_quad	ground	CCKW 353 (M45)	gameData/Weapons/groundModels_weapons/12_7mm_M2_HB_user_machinegun_for_M15.blk	12 7mm M2 HB user machinegun for M15	cannon	gunner0
cn_hj_9	ground	AFT09	gameData/Weapons/groundModels_weapons/152mm_hj_9_launcher_user_cannon.blk	152mm hj 9 launcher user cannon	cannon	gunner0
cn_hj_9	ground	AFT09	gameData/Weapons/dummy_weapon.blk	(empty slot)	dummy	gunner1
cn_hj_9	ground	AFT09	gameData/Weapons/groundModels_weapons/76mm_modern_cn_smoke_grenade_launcher.blk	76mm modern cn smoke grenade launcher	cannon	gunner2
cn_hq_11	ground	HQ11	gameData/Weapons/groundModels_weapons/250mm_FM_3000_user_cannon.blk	250mm FM 3000 user cannon	cannon	gunner0
cn_hq_17	ground	HQ17	gameData/Weapons/dummy_weapon.blk	(empty slot)	dummy	gunner0
cn_hq_17	ground	HQ17	gameData/Weapons/groundModels_weapons/239mm_HQ_17_user_cannon.blk	239mm HQ 17 user cannon	cannon	gunner1
cn_is_2_1943	ground	IS-2	gameData/Weapons/groundModels_weapons/122mm_D25T_user_cannon.blk	122mm D25T user cannon	cannon	gunner0
cn_is_2_1943	ground	IS-2	gameData/Weapons/groundModels_weapons/7_62mm_DT_user_machinegun.blk	7 62mm DT user machinegun	cannon	gunner1
