aam	gameData/Weapons/containers/us_sul_rah_66.blk	1	missile_air_to_air_group_heli	ATAS (AIM-92) missiles x2	Air-to-Air Missiles	20.2	20.2
aam	gameData/Weapons/containers/atas_2x_stinger_left.blk	1	missile_air_to_air_group_heli_vertical	ATAS (AIM-92) missiles x2	Air-to-Air Missiles	20.2	20.2
aam	gameData/Weapons/containers/atas_2x_stinger_right.blk	1	missile_air_to_air_group_heli_vertical	ATAS (AIM-92) missiles x2	Air-to-Air Missiles	20.2	20.2
aam	gameData/Weapons/containers/atas_2x_stinger_atas_tiger.blk	1	missile_air_to_air_group_heli	ATAS (AIM-92) missiles x2	Air-to-Air Missiles	20.2	20.2
aam	gameData/Weapons/containers/atas_2x_stinger.blk	1	missile_air_to_air_group_heli	ATAS (AIM-92) missiles x2	Air-to-Air Missiles	20.2	20.2
aam	gameData/Weapons/containers/amtsh_9m39_2x_igla.blk	1	missile_air_to_air_group	9M39 Igla air-to-air missiles x2	Air-to-Air Missiles	21.2	21.2
aam	gameData/Weapons/containers/9m39_2x_igla.blk	1	missile_air_to_air_group	9M39 Igla air-to-air missiles x2	Air-to-Air Missiles	21.2	21.2
aam	gameData/Weapons/containers/amtsh_9m336_2x_verba.blk	1	missile_air_to_air_group	9M336 Verba air-to-air missiles x2	Air-to-Air Missiles	23.4	23.4
aam	gameData/Weapons/containers/atam_2x_mistral_a129.blk	1	missile_air_to_air_special_heli	Mistral air-to-air missiles x2	Air-to-Air Missiles	37.4	37.4
aam	gameData/Weapons/containers/atam_2x_mistral.blk	1	missile_air_to_air_special_heli	Mistral air-to-air missiles x2	Air-to-Air Missiles	37.4	37.4
aam	gameData/Weapons/containers/atas_2x_stinger_right.blk	2	missile_air_to_air_group_heli_vertical	ATAS (AIM-92) missiles x2	Air-to-Air Missiles	20.2	40.4
aam	gameData/Weapons/containers/atas_2x_stinger_left.blk	2	missile_air_to_air_group_heli_vertical	ATAS (AIM-92) missiles x2	Air-to-Air Missiles	20.2	40.4
aam	gameData/Weapons/containers/amtsh_9m39_4x_igla.blk	1	missile_air_to_air_group_x4	9M39 Igla air-to-air missiles x4	Air-to-Air Missiles	42.4	42.4
aam	gameData/Weapons/containers/9m39_4x_igla.blk	1	missile_air_to_air_group_x4	9M39 Igla air-to-air missiles x4	Air-to-Air Missiles	42.4	42.4
aam	gameData/Weapons/containers/p_62_2_l_r_60.blk	1	missile_type_b_air_to_air	R-60 air-to-air missiles	Air-to-Air Missiles	43.5	43.5
