a_109_eoa2	a_109_eoa2_default	4x ffar extra
a_109_eoa2	a_109_eoa2_4xTOW	bgm71 default; bgm71
a_109_eoa2	a_109_eoa2_fn_m3p	2x fn m3p
a_109_eoa2	a_109_eoa2_gun_fn_m3p_hvar	fn m3p hvar slot2; fn m3p hvar slot3
a_10a_early	a_10a_default	no suspended armament
a_10a_early	a_10a_early_aero_131a	6x us hydra 70 m247
a_10a_early	a_10a_early_3x_aero_131a	4x us hydra 70 m247 x3
a_10a_early	a_10a_early_3x_aero_131a_aim_9l	us aim9l sidewinder lm default; 4x us hydra 70 m247 x3; us aim9l sidewinder rm default
a_10a_early	a_10a_early_500lb_mk_82	10x us 500lb mk 82 ldgp
a_10a_early	a_10a_early_3x_500lb_mk_82	4x us 500lb mk 82 x3 ter9a 1
a_10a_early	a_10a_early_500lb_mk_82_snakeye	6x us 500lb mk 82 ldgp snakeye; 4x us 500lb mk 82 snakeye x3 ter9a 1
a_10a_early	a_10a_early_3x_500lb_mk_82_aim_9l	us aim9l sidewinder lm default; 4x us 500lb mk 82 x3 ter9a 1; us aim9l sidewinder rm default
a_10a_early	a_10a_early_2000lb_mk_84	6x us 2000lb mk 84 ldgp
a_10a_early	a_10a_early_2000lb_mk_84_aim_9l	us aim9l sidewinder lm default; 6x us 2000lb mk 84 ldgp; us aim9l sidewinder rm default
a_10a_early	a_10a_early_2000lb_gbu_8	4x us 2000lb gbu 8 hobos
a_10a_early	a_10a_early_2000lb_gbu_8_aim_9l	us aim9l sidewinder lm default; 4x us 2000lb gbu 8 hobos; us aim9l sidewinder rm default
a_10a_early	a_10a_early_3x_agm_65b	2x us agm 65a x 3
a_10a_early	a_10a_early_3x_agm_65b_aim_9l	us aim9l sidewinder lm default; 2x us agm 65a x 3; us aim9l sidewinder rm default
a_10a_early	a_10a_early_aim_9l	us aim9l sidewinder lm default; us aim9l sidewinder rm default
a_10a_early	a_10a_early_suu_23a	suu 23a pod slot5; suu 23a pod slot6
a_10a_early	a_10a_early_suu_23a_aim_9l	us aim9l sidewinder lm default; suu 23a pod slot5; suu 23a pod slot6; us aim9l sidewinder rm default
a_10a_early	a_10a_early_2000lb_mk_84_air	6x us 2000lb mk 84 ldgp air
a_10a_early	a_10a_early_2000lb_mk_84_air_aim_9l	us aim9l sidewinder lm default; 6x us 2000lb mk 84 ldgp air; us aim9l sidewinder rm default
a_10a_late	a_10a_default	no suspended armament
a_10a_late	a_10a_late_aim_9l_default	us aim9l sidewinder lm default; us aim9l sidewinder rm default
a_10a_late	a_10a_late_aero_131a	6x us hydra 70 m247
a_10a_late	a_10a_late_3x_aero_131a	4x us hydra 70 m247 x3
a_10a_late	a_10a_late_3x_aero_131a_aim_9l	2x us aim9l sidewinder; 4x us hydra 70 m247 x3
a_10a_late	a_10a_late_500lb_mk_82	10x us 500lb mk 82 ldgp
a_10a_late	a_10a_late_x3_500lb_mk_82	4x us 500lb mk 82 x3 ter9a 1
a_10a_late	a_10a_late_500lb_mk_82_snakeye	6x us 500lb mk 82 ldgp snakeye; 4x us 500lb mk 82 snakeye x3 ter9a 1
a_10a_late	a_10a_late_x3_500lb_mk_82_aim_9l	2x us aim9l sidewinder; 4x us 500lb mk 82 x3 ter9a 1
a_10a_late	a_10a_late_2000lb_mk_84	6x us 2000lb mk 84 ldgp
a_10a_late	a_10a_late_2000lb_mk_84_aim_9l	2x us aim9l sidewinder; 6x us 2000lb mk 84 ldgp
a_10a_late	a_10a_late_3x_agm_65d	2x us agm 65d x 3
a_10a_late	a_10a_late_3x_agm_65d_aim_9l	2x us aim9l sidewinder; 2x us agm 65d x 3
a_10a_late	a_10a_late_aim_9l	2x us aim9l sidewinder
a_10a_late	a_10a_late_2000lb_mk_84_air	6x us 2000lb mk 84 ldgp air
a_10c	a_10c_default	ptb slot4; ptb slot6; ptb slot8
a_10c	a_10c_aim_9l_default	aim9l default slot1; aim9l default slot11
