a_109_eoa2	50cal_ground_targets	12.7 mm machine gun ammunition belt for ground targets	0			
a_109_eoa2	50cal_stealth	12.7 mm machine gun ammunition belt for stealth attack	0			
a_109_eoa2	50cal_tracers	12.7 mm machine gun ammunition belt with tracer bullets	0			
a_109_eoa2	new_heli_cover	Cover	0			
a_109_eoa2	heli_flak_jacket	Flak jacket	0			
a_109_eoa2	heli_structure	Helicopter frame	0			
a_109_eoa2	50cal_universal	Omni-purpose ammunition belt for 12.7 mm machine gun	0			
a_109_eoa2	bmg50_belt_pack	Bmg50 Belt Pack	1			
a_109_eoa2	new_compressor_heli	Compressor	1			
a_109_eoa2	fn_hmp400	FN HMP400 LCC	1	weapon		
a_109_eoa2	bmg50_new_gun	Bmg50 New Gun	2			bmg50_belt_pack
a_109_eoa2	cd_98_main_rotor	Replacing helicopter blades	2			
a_109_eoa2	air_extinguisher	EFS	3			heli_structure
a_109_eoa2	hp_105_jet	Engine	3			cd_98_main_rotor
a_109_eoa2	fn_rmp	FN RMP LC	3	weapon		fn_hmp400
a_10a_early	countermeasures_launcher_chaff	Countermeasures Launcher Chaff	0			
a_10a_early	GAU_8A_air_targets	GAU 8A Air Targets	0			
a_10a_early	GAU_8A_ground_targets	GAU 8A Ground Targets	0			
a_10a_early	GAU_8A_stealth	GAU 8A Stealth	0			
a_10a_early	M60_air_targets	M60 Air Targets	0			
a_10a_early	M60_armor_targets	M60 Armor Targets	0			
a_10a_early	M60_stealth	M60 Stealth	0			
a_10a_early	new_compressor_jet	Compressor	1			
a_10a_early	countermeasures_belt_pack	Flares/Chaff	1	weapon	countermeasures	
a_10a_early	f_4c_CdMin_Fuse	Fuselage repair	1			
a_10a_early	GAU_8A_belt_pack	GAU 8A Belt Pack	1			
a_10a_early	us_500lb_mk82	Mk82	1	weapon		
a_10a_early	structure_str	Airframe	2			
a_10a_early	us_hydra_70	Hydra 70	2	weapon		
a_10a_early	us_2000lb_mk84	Mk84	2	weapon		us_500lb_mk82
a_10a_early	hydravlic_power	New boosters	2			new_compressor_jet
a_10a_early	f4c_suu_23a	SUU-23/A. gun pod	2	weapon		countermeasures_belt_pack
a_10a_early	us_agm_65b	AGM-65B	3	weapon		us_hydra_70
a_10a_early	GAU_8A_new_gun	GAU 8A New Gun	3			GAU_8A_belt_pack
a_10a_early	us_gbu_8	GBU-8	3	weapon		us_2000lb_mk84
a_10a_early	f_4c_g_suit	G-suit	3			
a_10a_early	M60_belt_pack	M60 Belt Pack	3			f4c_suu_23a
a_10a_early	cd_98	Wings repair	3			hydravlic_power
a_10a_early	us_aim_9l	AIM-9L	4	weapon		us_gbu_8
a_10a_early	new_cover	Cover	4			
a_10a_early	air_extinguisher	EFS	4	weapon		us_agm_65b
a_10a_early	hp_105_jet	Engine	4			cd_98
a_10a_early	M60_new_gun	M60 New Gun	4			M60_belt_pack
a_10a_late	countermeasures_launcher_chaff	Countermeasures Launcher Chaff	0			
a_10a_late	GAU_8A_air_targets	GAU 8A Air Targets	0			
a_10a_late	GAU_8A_ground_targets	GAU 8A Ground Targets	0			
a_10a_late	GAU_8A_stealth	GAU 8A Stealth	0			
a_10a_late	new_compressor_jet	Compressor	1			
a_10a_late	countermeasures_belt_pack	Flares/Chaff	1	weapon	countermeasures	
a_10a_late	f_4c_CdMin_Fuse	Fuselage repair	1			
a_10a_late	GAU_8A_belt_pack	GAU 8A Belt Pack	1			
a_10a_late	us_500lb_mk82	Mk82	1	weapon		
a_10a_late	structure_str	Airframe	2			
a_10a_late	us_hydra_70	Hydra 70	2	weapon		countermeasures_belt_pack
a_10a_late	us_2000lb_mk84	Mk84	2	weapon		us_500lb_mk82
a_10a_late	hydravlic_power	New boosters	2			new_compressor_jet
a_10a_late	GAU_8A_new_gun	GAU 8A New Gun	3			GAU_8A_belt_pack
a_10a_late	f_4c_g_suit	G-suit	3			
a_10a_late	cd_98	Wings repair	3			hydravlic_power
a_10a_late	us_agm_65d	AGM-65D	4	weapon		us_hydra_70
a_10a_late	us_aim_9l	AIM-9L	4	weapon		us_2000lb_mk84
a_10a_late	new_cover	Cover	4			
a_10a_late	air_extinguisher	EFS	4	weapon		
a_10a_late	hp_105_jet	Engine	4			cd_98
a_10c	GAU_8A_air_targets	GAU 8A Air Targets	0			
a_10c	GAU_8A_ground_targets	GAU 8A Ground Targets	0			
a_10c	GAU_8A_stealth	GAU 8A Stealth	0			
a_10c	maw_countermeasures_launcher_chaff	Maw Countermeasures Launcher Chaff	0			
a_10c	new_compressor_jet	Compressor	1			
a_10c	f_4c_CdMin_Fuse	Fuselage repair	1	lth		
