a_109_eoa2	A.109EOA-2	typeFighter	a_109_eoa2_default	Italy	6	1820	Helicopter
a_10a_early	A-10A Thunderbolt II (Early)	typeFighter	a_10a_default	USA	6	7257	Aircraft
a_10a_late	A-10A Thunderbolt II (Late)	typeFighter	a_10a_default	USA	7	7257	Aircraft
a_10c	A-10C Thunderbolt II	typeFighter	a_10c_default	USA	7	7257	Aircraft
a_129_a	A-129 International Prototype	typeFighter	a_129_a_default	Italy	6	1000	Helicopter
a_129_cbt	A129CBT Mangusta	typeFighter	a_129_cbt_default	Italy	7	1000	Helicopter
a_129_d	AH-129D Mangusta	typeFighter	a_129_d_default	Italy	7	1000	Helicopter
a_20g_30_ussr	A-20G-30 Havoc	typeBomber	a_20g_30_default	USSR / Russia	3	2165	Aircraft
a_29_hudson	A-29	typeBomber	a_29_hudson_bombs	China	2	0	Aircraft
a_4b	A-4B Skyhawk	typeFighter	a_4b_default	USA	6	3100	Aircraft
a_4e_early	A-4E Skyhawk Early	typeFighter	a_4e_early_default	USA	6	3720	Aircraft
a_4e_early_iaf	A-4E Early (M) Skyhawk	typeFighter	a_4e_early_default	Israel	6	3720	Aircraft
a_4e_late_iaf	A-4E Skyhawk	typeFighter	a_4e_late_iaf_default	Israel	6	3720	Aircraft
a_4h	A-4H Skyhawk	typeFighter	a_4h_iaf_default	Israel	6	3720	Aircraft
a_4n	A-4N Skyhawk II (Ayit)	typeFighter	a_4n_default	Israel	6	4153	Aircraft
a_5c	A-5C	typeFighter	a_5c_default	China	7	2000	Aircraft
a_6e_tram	A-6E TRAM Intruder	typeFighter	a_6e_tram_default	USA	7	8165	Aircraft
a_7d	A-7D Corsair II	typeBomber	a_7d_default	USA	7	7260	Aircraft
a_7e	A-7E Corsair II	typeBomber	a_7e_default	USA	7	7260	Aircraft
a_7e_thailand	A-7E Corsair II	typeBomber	a_7e_default	Japan	7	7260	Aircraft
a_7k	A-7K Corsair II	typeBomber	a_7k_default	USA	7	8130	Aircraft
a-20g	A-20G-25 Havoc	typeBomber	a20g_default	USA	2	0	Aircraft
a-26b	A-26B-50	typeStormovik	a_26b_100lbs	USA	4	2500	Aircraft
a-26b_10	A-26B-10	typeStormovik	a_26b_default	USA	4	2500	Aircraft
a-26c	A-26C-45 Invader	typeStormovik	a_26c_default	USA	4	0	Aircraft
a-26c-45-dt	A-26C-45DT	typeStormovik	a_26c_default	USA	4	0	Aircraft
a2d	A2D-1 Skyshark	typeFighter	a2d_default	USA	5	4000	Aircraft
a-35b	A-35B	typeFighter	a_35b_250lbs	France	2	0	Aircraft
a5m4	A5M4	typeFighter	a5m4_default	Japan	1	0	Aircraft
a5m4_hagiri	Hagiri's A5M4	typeFighter	a5m4_default	Japan	1	0	Aircraft
a6m2_mod11	A6M2 mod. 11	typeFighter	a6m2_default	Japan	2	0	Aircraft
