cn_cm_34	3
cn_m42_duster	3
cn_pgz_09	2
cn_qn506	2
cn_sdkfz_222_early	3
cn_type_65_aa	4
cn_wz_305	5
cn_zbd_04a	2
cn_zsd63_pg87	3
cn_zsl_92	2
fr_amx_10p	3
fr_amx_13_dca_40	3
fr_amx_30_dca	2
fr_cckw_353_bofors	3
fr_cv_9035_nl	4
fr_lvt_bofors	3
fr_tpk_641_vpc	3
fr_vab_santal	2
fr_vbci	4
fr_vbci2_mct30	3
germ_9a35_m	2
germ_boxer_swatrinf	2
germ_flakpanzer_38t_gepard	4
germ_flakpanzer_IV_Ostwind_2_net	4
germ_flakpanzer_IV_wirbelwind	4
germ_flakpanzer_I_ausf_A	4
germ_flakpanzer_V_Coelian	3
germ_flakpanzer_iv_kugelblitz	4
germ_flakpanzer_iv_ostwind	4
germ_flakpanzer_iv_ostwind_2	4
germ_flakpanzer_zerstorer_45	4
germ_flakpz_1a2_gepard	2
germ_flakpz_I_Gepard	2
germ_marder_1a1	3
germ_marder_1a3	4
germ_panzerwerfer_42	2
germ_pzkpfw_38t_aufklarungspanzer	4
germ_pzkpfw_ii_ausf_c	3
germ_pzkpfw_ii_ausf_c_dak	3
germ_pzkpfw_ii_ausf_c_td	3
germ_pzkpfw_ii_ausf_f	3
germ_schutzenpanzer_puma	4
germ_schutzenpanzer_puma_vjtf	4
germ_sdkfz_222	4
germ_sdkfz_234_1	4
germ_sdkfz_6_2_flak36	4
germ_sppz2_luchs_a2	2
germ_vilkas	2
germ_wiesel_1_mk20	4
il_eitan	2
il_m163_vulcan	2
il_machbet	2
il_namer_rcws_30	2
il_namer_tsrikhon	2
il_tcm_20	3
il_zsu_57_2	4
it_39m_csaba	2
it_9a35_m	2
it_ab_41	3
it_as_42_metropolitana	4
it_btr_80a_hungary	2
it_dardo_vcc	2
it_fiat_6614_firos	2
it_freccia	2
it_freccia_hitfist_ows	2
it_kf_41	2
it_l3_cc	2
it_l6	3
it_l6_leone	3
it_leopard_bofors	3
it_oto_r3_t20_fa	3
it_otobreda_sidam_25	2
it_otobreda_sidam_25_mistral	2
it_vbc_pt2	4
it_vcc_80_hitfist_30	2
it_zsu_57_2	4
jp_btr_3e1	2
jp_icv_ifv_prototype	4
jp_icv_prototype	4
jp_m163_vulcan	2
jp_m19	3
jp_m42_duster	3
jp_sub_i_ii_20mm	4
jp_type_81_tansam	2
jp_type_87	2
jp_type_87_rcv	4
jp_type_87_rcv_prot	4
jp_type_94	3
jp_type_95_so_ki	3
jp_type_98_ta_se	3
sw_asrad_r	2
sw_bmp_2md	2
sw_cv_9030_fin	3
sw_cv_9035_dk	4
sw_cv_90_mk4	2
sw_itpsv_90	2
sw_l_62_anti_ii	3
sw_landsverk_ush_204_gk	2
sw_lvkv_42	3
sw_lvrbv_701	3
sw_pbil_m40	3
sw_pbv_301	3
sw_pbv_302_bill	3
sw_pvlvv_fm42	3
sw_tgdgb_m40_lv	3
sw_veak_40	3
sw_zsu_57_2	4
uk_9a35_m	2
uk_armored_car_mk_2_aa	3
uk_badger	3
uk_bosvark	3
uk_boxer_crv_block2	2
uk_chieftain_marksman	2
uk_crusader_aa_mk_1	3
uk_crusader_aa_mk_2	3
uk_crusader_aa_mk_2_kit_3rank	3
uk_desert_warrior	2
uk_fv102_striker	2
uk_fv107_scimitar	4
uk_fv510_isv	4
uk_fv721_fox	4
uk_ratel_20	3
uk_skink_aa	3
uk_stormer_air_defence	2
uk_ystervark_spaa	3
us_efv_p1	3
us_halftrack_m15	4
us_lav_ad	3
us_m1296_dragoon	4
us_m163_vulcan	2
us_m19	3
us_m247	2
us_m3_bradley	3
us_m3a3_bradley	2
us_m42_duster	3
us_m50_ontos	2
us_skink_aa	3
us_skink_aa_kit_3rank	3
ussr_9a35_m2	2
ussr_bmd_4	2
ussr_bmd_4m	2
ussr_bmd_4m2	2
ussr_bmp_2	2
ussr_bmp_2m	2
ussr_btr_80a	2
ussr_btr_82at	2
ussr_btr_zd	3
ussr_gaz_mm_72k	3
ussr_it_1	2
ussr_m53_59	3
ussr_t_60_1941	3
ussr_type_65_aa	4
ussr_zis_12_94km_1945	3
ussr_zis_43	3
ussr_zsu_23_4m2	2
ussr_zsu_37	4
ussr_zsu_57_2	4
ussr_zut_37	3
