cn_al_khalid_1	Al-Khalid-I	cn_al_khalid_1_default	China	7	typeMediumTank	gameData/Weapons/groundModels_weapons/125mm_ZPT_98_user_cannon.blk	49	48000	1200	75	10	0	0
cn_antelope_tc_1l_ads	Antelope	cn_antelope_tc_1l_ads_default	China	7	typeSPAA	gameData/Weapons/groundModels_weapons/127mm_tc_1l_rocket_launcher_user_cannon.blk	4	5500	145	75	30	0	0
cn_bt_5	BT-5	ussr_bt_5_default	China	1	typeLightTank	gameData/Weapons/groundModels_weapons/45mm_20K_user_cannon.blk	86	13700	400	75	10	0	0
cn_cm_25	CM25	cn_cm_25_default	China	6	typeTankDestroyer	gameData/Weapons/groundModels_weapons/127mm_BGM_71_tow_launcher_user_cannon.blk	10	17550	215	75	10	0	0
cn_cm_34	CM34	cn_cm_34_default	China	6	typeLightTank	gameData/Weapons/groundModels_weapons/30mm_Bushmaster_2_Mk_44_user_cannon.blk	420	5500	450	75	30	0	0.09
cn_cm11	CM11	cn_cm11_default	China	6	typeMediumTank	gameData/Weapons/groundModels_weapons/105mm_M68A1_user_cannon.blk	56	43650	750	75	10	0	0
cn_gmc_cckw_353_m45_quad	CCKW 353 (M45)	cn_gmc_cckw_353_m45_quad_default	China	2	typeSPAA	gameData/Weapons/groundModels_weapons/12_7mm_M2_HB_user_machinegun_for_M15.blk	800	11050	94	75	30	0	0.03
cn_hj_9	AFT09	cn_hj_9_default	China	6	typeTankDestroyer	gameData/Weapons/groundModels_weapons/152mm_hj_9_launcher_user_cannon.blk	12	5500	320	75	30	0	0
cn_hq_11	HQ11	cn_hq_11_default	China	8	typeSPAA	gameData/Weapons/groundModels_weapons/250mm_FM_3000_user_cannon.blk	8	50000	550	60	10	0	0
cn_hq_17	HQ17	cn_hq_17_default	China	8	typeSPAA	gameData/Weapons/dummy_weapon.blk	1	31800	780	75	10	0	0
cn_is_2_1943	IS-2	ussr_is_2_default	China	4	typeHeavyTank	gameData/Weapons/groundModels_weapons/122mm_D25T_user_cannon.blk	28	44000	520	75	10	0	0
cn_is_2_1943_no402	IS-2 No.402	ussr_is_2_default	China	4	typeHeavyTank	gameData/Weapons/groundModels_weapons/122mm_D25T_user_cannon.blk	28	44000	520	75	10	0	0
cn_is_2_1944	IS-2 (1944)	cn_is_2_1944_default	China	4	typeHeavyTank	gameData/Weapons/groundModels_weapons/122mm_D25T_user_cannon.blk	28	44000	520	75	10	0	0
cn_isu_122	ISU-122	ussr_isu_122_default	China	3	typeTankDestroyer	gameData/Weapons/groundModels_weapons/122mm_A19_user_cannon.blk	30	46000	520	75	10	0	0
cn_isu_152	ISU-152	ussr_isu_152_default	China	3	typeTankDestroyer	gameData/Weapons/groundModels_weapons/152mm_ML20S_user_cannon.blk	20	46000	520	75	10	0	0
cn_lvt_4_zis_2	LVT(A)(4) (ZiS-2)	us_lvt_4_zis_2_default	China	2	typeLightTank	gameData/Weapons/groundModels_weapons/57mm_ZIS2_user_cannon.blk	76	15615	250	75	10	4	0
cn_m_41d	M41D	cn_m_41d_default	China	6	typeLightTank	gameData/Weapons/groundModels_weapons/76mm_M32K1_user_cannon.blk	65	23040	500	75	10	0	0
cn_m10	M10 GMC	cn_m10_default	China	2	typeTankDestroyer	gameData/Weapons/groundModels_weapons/76mm_M7_for_M10_user_cannon.blk	54	30000	410	75	10	5	0
cn_m113a1_tow	M113A1 (TOW)	it_m113a1_tow_default	China	5	typeTankDestroyer	gameData/Weapons/groundModels_weapons/127mm_bgm_71b_tow_rocket_launcher.blk	10	17550	215	75	10	0	0
cn_m18_hellcat	M18 GMC	us_m18_hellcat_default	China	4	typeLightTank	gameData/Weapons/groundModels_weapons/76mm_M1_open_turret_user_cannon.blk	45	17690	460	75	10	6.060606	0
cn_m1a2t	M1A2T	cn_m1a2t_default	China	8	typeMediumTank	gameData/Weapons/groundModels_weapons/120mm_m256_m1a2t_user_cannon.blk	42	54000	1519	75	10	5	0.5
cn_m24_chaffee	M24	us_m24_chaffee_default	China	3	typeLightTank	gameData/Weapons/groundModels_weapons/75mm_M6_user_cannon.blk	48	18400	296	75	10	0	0
cn_m36	M36 GMC	us_m36_default	China	3	typeTankDestroyer	gameData/Weapons/groundModels_weapons/90mm_M3_open_turret_without_MB_user_cannon.blk	47	30000	500	75	10	6.993007	0
cn_m3a3_stuart	M3A3 Stuart	cn_m3a3_stuart_default	China	2	typeLightTank	gameData/Weapons/groundModels_weapons/37mm_M6_user_cannon.blk	174	11520	262	75	10	0	0
cn_m3a3_stuart_1st_ptg	M3A3 (1st PTG)	cn_m3a3_stuart_default	China	2	typeLightTank	gameData/Weapons/groundModels_weapons/37mm_M6_user_cannon.blk	174	11520	262	75	10	0	0
cn_m41_a3_walker_bulldog	M41A3	us_m41_walker_bulldog_default	China	3	typeLightTank	gameData/Weapons/groundModels_weapons/76mm_M32_user_cannon.blk	65	23040	500	75	10	0	0
cn_m42_duster	M42	us_m42_duster_default	China	3	typeSPAA	gameData/Weapons/groundModels_weapons/40mm_M2_user_cannon.blk	240	22600	500	75	10	0	0.25
cn_m48a1_patton_iii	M48A1	us_m48a1_patton_III_default	China	5	typeMediumTank	gameData/Weapons/groundModels_weapons/90mm_M41_user_cannon.blk	60	43650	810	75	10	5.9988	0
cn_m4a1_76w_sherman	M4A1 (75) W	cn_m4a1_76w_sherman_default	China	3	typeMediumTank	gameData/Weapons/groundModels_weapons/75mm_m3_user_cannon.blk	71	31800	400	75	10	0	0
cn_m4a4_sherman	M4A4	cn_m4a4_sherman_default	China	2	typeMediumTank	gameData/Weapons/groundModels_weapons/75mm_m3_user_cannon.blk	98	31800	425	75	10	0	0
cn_m4a4_sherman_1st_ptg	M4A4 (1st PTG)	cn_m4a4_sherman_1st_ptg_default	China	2	typeMediumTank	gameData/Weapons/groundModels_weapons/75mm_m3_user_cannon.blk	98	31800	425	75	10	0	0
cn_m55	M55	us_m55_default	China	3	typeTankDestroyer	gameData/Weapons/groundModels_weapons/203mm_m47_user_cannon.blk	10	50000	810	60	10	0	0.25
cn_m5a1_stuart	M5A1	us_m5a1_stuart_default	China	2	typeLightTank	gameData/Weapons/groundModels_weapons/37mm_M6_user_cannon.blk	147	15615	296	75	10	0	0
cn_m60a3_tts	M60A3 TTS	cn_m60a3_tts_default	China	6	typeMediumTank	gameData/Weapons/groundModels_weapons/105mm_M68_XM_user_cannon.blk	63	43650	750	75	10	0	0
cn_m8_greyhound	M8 LAC	us_m8_greyhound_default	China	1	typeLightTank	gameData/Weapons/groundModels_weapons/37mm_M6_user_cannon.blk	80	5500	110	75	30	3.528582	0.25
cn_m8_scott	M8 HMC	us_m8_scott_default	China	1	typeTankDestroyer	gameData/Weapons/groundModels_weapons/75mm_M2_howitzer_user_cannon.blk	46	15615	296	75	10	0	0
cn_mbt2000	MBT-2000	cn_mbt2000_default	China	7	typeMediumTank	gameData/Weapons/groundModels_weapons/125mm_ZPT_98_user_cannon.blk	49	50000	1200	75	10	0	0
cn_mbt2000_sm	MBT-2000	cn_mbt2000_sm_default	China	7	typeMediumTank	gameData/Weapons/groundModels_weapons/125mm_ZPT_98_user_cannon.blk	49	50000	1200	75	10	0	0
cn_object_122tm	Object 122MT "MC"	cn_object_122tm_default	China	6	typeMediumTank	gameData/Weapons/groundModels_weapons/120mm_122TM_user_cannon.blk	40	35500	650	75	10	0	0
cn_object_211	Object 211	cn_object_211_default	China	3	typeLightTank	gameData/Weapons/groundModels_weapons/85mm_Type_62_85_TC_user_cannon.blk	47	50000	400	75	10	0	1
cn_oplot_t	Oplot-M	jp_oplot_t_default	China	8	typeMediumTank	gameData/Weapons/groundModels_weapons/125mm_KBA_3_user_cannon.blk	46	51100	1200	75	10	0	0
cn_pgz_04a	PGZ04A	cn_pgz_04a_default	China	6	typeSPAA	gameData/Weapons/groundModels_weapons/25mm_PG87_PGZ_user_cannon.blk	258	37000	383	75	10	0	0
cn_pgz_09	PGZ09	cn_pgz_09_default	China	6	typeSPAA	gameData/Weapons/groundModels_weapons/35mm_PG_99_35_2_user_cannon.blk	240	46000	800	75	10	0	0.045
cn_pgz_625_fb10	CS/SA5	cn_pgz_625_fb10_default	China	8	typeSPAA	gameData/Weapons/groundModels_weapons/30mm_pgz_625_user_cannon.blk	800	5500	485	75	30	0	0
cn_pgz_88	PGZ88	cn_pgz_88_default	China	5	typeSPAA	gameData/Weapons/groundModels_weapons/37mm_type_76_user_cannon.blk	250	46000	580	75	10	0	0.3
cn_plz_05	PLZ05	cn_plz_05_default	China	5	typeTankDestroyer	gameData/Weapons/groundModels_weapons/155mm_PL05_user_cannon.blk	30	31800	800	75	10	0	1
cn_plz_83	PLZ83	cn_plz_83_default	China	4	typeTankDestroyer	gameData/Weapons/groundModels_weapons/152mm_pl_66_gai_user_cannon.blk	30	31800	520	75	10	0	0
cn_plz_83_130	PLZ83-130	cn_plz_83_130_default	China	5	typeTankDestroyer	gameData/Weapons/groundModels_weapons/130mm_pl_59a_gai_user_cannon.blk	38	31800	520	75	10	0	0
cn_pt_76	PT-76	cn_pt_76_default	China	3	typeLightTank	gameData/Weapons/groundModels_weapons/76mm_D56_T_user_cannon.blk	40	26500	240	75	10	0	0
cn_ptl_02	PTL02	cn_ptl_02_default	China	6	typeLightTank	gameData/Weapons/groundModels_weapons/100mm_PTP86_user_cannon.blk	30	5500	320	75	30	6.666667	0
cn_ptz_89	PTZ89	cn_ptz_89_default	China	6	typeTankDestroyer	gameData/Weapons/groundModels_weapons/120mm_PTZ89_user_cannon.blk	30	64000	520	75	10	0	0
